year,month_num,month_name,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_precipitation,actual_precipitation,average_precipitation,city,state,shortcode
2015,4,April,52.666666666666664,42.46666666666667,62.36666666666667,41.766666666666666,59.3,10,92,3.83,2.94,3.64,Chicago,Illinois,MDW
2015,5,May,63.74193548387097,54.38709677419355,72.58064516129032,51.61290322580645,70.2258064516129,28,102,3.3,4.13,4.13,Chicago,Illinois,MDW
2015,6,June,70.4,61.1,79.16666666666667,62.166666666666664,79.96666666666667,35,107,4.64,4.37,4.0600000000000005,Chicago,Illinois,MDW
2014,1,January,48.98913043478261,41.53260869565217,56.0,39.28260869565217,55.858695652173914,-5,96,5.53,9.870000000000001,9.73,Philadelphia,Pennsylvania,PHL
2014,7,July,78.29032258064517,69.2258064516129,86.74193548387096,69.35483870967742,86.93548387096774,51,104,8.02,4.3,4.3500000000000005,Philadelphia,Pennsylvania,PHL
2014,8,August,75.03225806451613,66.12903225806451,83.2258064516129,67.93548387096774,85.35483870967742,44,106,5.63,3.5500000000000003,3.5,Philadelphia,Pennsylvania,PHL
2014,9,September,70.8,62.166666666666664,78.83333333333333,60.36666666666667,78.06666666666666,35,102,6.63,1.69,3.7800000000000002,Philadelphia,Pennsylvania,PHL
2015,1,January,31.193548387096776,23.903225806451612,37.806451612903224,25.580645161290324,40.29032258064516,-7,74,2.49,4.52,3.0300000000000002,Philadelphia,Pennsylvania,PHL
2015,2,February,25.964285714285715,17.464285714285715,34.107142857142854,27.785714285714285,43.82142857142857,-11,79,3.86,2.3600000000000003,2.65,Philadelphia,Pennsylvania,PHL
2015,3,March,39.41935483870968,30.451612903225808,47.83870967741935,34.41935483870968,52.774193548387096,5,87,2.79,5.52,3.79,Philadelphia,Pennsylvania,PHL
2015,4,April,55.56666666666667,45.43333333333333,65.26666666666667,44.166666666666664,63.93333333333333,14,95,4.42,3.5799999999999996,3.56,Philadelphia,Pennsylvania,PHL
2015,5,May,70.29032258064517,59.25806451612903,80.93548387096774,54.064516129032256,73.83870967741936,28,97,3.16,1.19,3.71,Philadelphia,Pennsylvania,PHL
2015,6,June,75.06666666666666,66.53333333333333,83.03333333333333,63.86666666666667,82.76666666666667,44,102,4.62,8.88,3.43,Philadelphia,Pennsylvania,PHL
2014,1,January,68.16304347826087,56.80434782608695,79.09782608695652,54.130434782608695,76.70652173913044,22,107,2.32,1.04,2.11,Phoenix,Arizona,PHX
2014,7,July,96.74193548387096,85.90322580645162,107.06451612903226,83.58064516129032,106.2258064516129,63,121,2.81,0.06,1.05,Phoenix,Arizona,PHX
2014,8,August,91.80645161290323,80.83870967741936,102.29032258064517,82.7741935483871,104.51612903225806,58,117,2.43,1.17,1.0,Phoenix,Arizona,PHX
2014,9,September,89.26666666666667,78.8,99.2,76.93333333333334,99.83333333333333,47,116,3.29,5.1,0.64,Phoenix,Arizona,PHX
2015,1,January,58.935483870967744,47.96774193548387,69.2258064516129,45.67741935483871,67.29032258064517,16,88,1.74,0.81,0.9099999999999999,Phoenix,Arizona,PHX
2015,2,February,65.82142857142857,53.75,77.5,48.785714285714285,70.75,24,92,1.46,0.01,0.92,Phoenix,Arizona,PHX
2015,3,March,72.41935483870968,59.645161290322584,84.74193548387096,53.58064516129032,76.93548387096774,25,100,1.98,0.33,0.99,Phoenix,Arizona,PHX
2015,4,April,74.56666666666666,61.733333333333334,86.8,60.2,85.23333333333333,35,105,1.3,0.18000000000000002,0.28,Phoenix,Arizona,PHX
2015,5,May,79.03225806451613,67.35483870967742,90.12903225806451,69.41935483870968,94.83870967741936,39,114,0.93,1.17,0.11,Phoenix,Arizona,PHX
2015,6,June,94.2,82.1,105.93333333333334,77.73333333333333,103.93333333333334,49,122,1.37,0.25,0.02,Phoenix,Arizona,PHX
